"ID","Fold.change","Regulatory.status.x","p.value.adj.x","FPKM.WT.x","FPKM.SarA.x","foldChange_SarA.WT","Regulatory.status.y","p.value.adj.y","FPKM.WT.y","FPKM.SarA.y"
"srn_3510",1.14933,"-",0.369,168.47,198.67,0.58387,"+",0.0285,416.97,280.16
"srn_3550",0.64833,"+",3.09e-05,419.51,279.06,1.00144,"-",0.957,504.47,581.37
"srn_3600",0.98303,"+",1,40.26,40.6,0.34417,"+",1.03e-05,177.83,70.43
"srn_3610",7.09485,"-",4.72e-64,62.65,456.07,8.90355,"-",6.84e-28,134.6,1379.09
"srn_9340",13.90664,"-",1.2e-50,3.22,45.97,24.83422,"-",1.66e-52,6.42,183.5
"srn_3670",0.95313,"+",1,9.18,8.98,1.94649,"-",0.0869,13.25,29.68
"srn_3910",2.3299,"-",5.23e-18,2020.33,4829.78,0.52375,"+",0.00754,92046.43,55477.51
"srn_4130",1.49452,"-",0.89,0.73,1.12,4.99359,"-",0.111,0.44,2.55
"srn_4160",1.66456,"-",0.161,6.44,11,1.52462,"-",0.653,1.88,3.3
"srn_4325",1.41153,"-",0.142,29.63,42.91,1.5514,"-",0.224,36.92,65.92
"srn_4460",0.72012,"+",0.028,87.4,64.58,0.54327,"+",0.00422,449.78,281.2
"srn_4470",0.33153,"+",7.62e-28,25959.98,8830.65,0.16074,"+",1.97e-13,22796.86,4216.75
"srn_4590",0.74295,"+",0.293,17.29,13.18,1.32905,"-",0.428,37.33,57.1
"srn_5010",0.7078,"+",0.000505,1247.39,905.91,0.92413,"+",0.668,922.46,981
